file,lightweight_execution_time,lightweight_number_of_swap,original_execution_time,original_number_of_swap
0410184_169.qasm,0.0039730072021484375,87,0.05817580223083496,83
4gt11_84.qasm,0.0014426708221435547,4,0.004105567932128906,5
4gt13-v1_93.qasm,0.00267791748046875,22,0.015403985977172852,18
4gt4-v0_73.qasm,0.009668111801147461,130,0.07839345932006836,117
4gt5_75.qasm,0.0019731521606445312,27,0.013460874557495117,27
4mod5-v0_19.qasm,0.0013275146484375,13,0.008478164672851562,13
4mod7-v0_94.qasm,0.0029096603393554688,54,0.02419257164001465,48
aj-e11_165.qasm,0.0024912357330322266,51,0.027292490005493164,47
alu-v1_29.qasm,0.0013165473937988281,10,0.005396842956542969,9
alu-v3_34.qasm,0.0020656585693359375,17,0.008578062057495117,16
clip_206.qasm,0.5085291862487793,13746,6.648330450057983,13310
cnt3-5_179.qasm,0.003725290298461914,72,0.048774003982543945,81
dc1_220.qasm,0.025086641311645508,694,0.35839104652404785,693
decod24-v1_41.qasm,0.0021202564239501953,30,0.014943838119506836,28
ex1_226.qasm,0.0009307861328125,6,0.0033054351806640625,5
ground_state_estimation_10.qasm,6.198487281799316,68998,42.139074087142944,62153
hwb5_53.qasm,0.019505739212036133,477,0.19861388206481934,428
inc_237.qasm,0.17046499252319336,4127,2.092209577560425,3982
majority_239.qasm,0.009703874588012695,200,0.0966644287109375,196
misex1_241.qasm,0.25485849380493164,1826,0.831925630569458,1613
mod5d1_63.qasm,0.0013396739959716797,10,0.005747556686401367,10
one-two-three-v0_97.qasm,0.004685640335083008,99,0.037908077239990234,94
plus63mod4096_163.qasm,1.9480619430541992,51952,26.41296625137329,50509
radd_250.qasm,0.04403114318847656,1201,0.5992071628570557,1204
rd53_131.qasm,0.00927591323852539,168,0.06049776077270508,141
rd53_311.qasm,0.005860805511474609,113,0.0645143985748291,111
root_255.qasm,0.22498297691345215,6716,3.6414761543273926,6844
sqrt8_260.qasm,0.04011678695678711,1159,0.5713372230529785,1140
sym6_316.qasm,0.005528926849365234,104,0.05784463882446289,106
urf1_149.qasm,2.9459171295166016,65776,33.29999804496765,61523
urf3_279.qasm,2.0987274646759033,54036,27.41386127471924,53542
wim_266.qasm,0.015540599822998047,345,0.19229507446289062,337
