file,lightweight_execution_time,lightweight_number_of_swap,original_execution_time,original_number_of_swap
0410184_169.qasm,0.024097442626953125,77,0.36002492904663086,79
4gt11_84.qasm,0.005767107009887695,5,0.020028352737426758,5
4gt13-v1_93.qasm,0.006114959716796875,21,0.045000553131103516,20
4gt4-v0_73.qasm,0.012370586395263672,153,0.2994215488433838,143
4gt5_75.qasm,0.005272626876831055,28,0.04956960678100586,29
4mod5-v0_19.qasm,0.00443577766418457,12,0.03762555122375488,13
4mod7-v0_94.qasm,0.007385730743408203,47,0.09343409538269043,50
aj-e11_165.qasm,0.005488872528076172,48,0.11056971549987793,47
alu-v1_29.qasm,0.004225492477416992,10,0.02352762222290039,9
alu-v3_34.qasm,0.0050432682037353516,17,0.0403590202331543,16
clip_206.qasm,0.545689582824707,19475,27.702101707458496,15285
cnt3-5_179.qasm,0.020843029022216797,62,0.18317079544067383,89
dc1_220.qasm,0.049559593200683594,872,1.5586271286010742,774
decod24-v1_41.qasm,0.006137371063232422,25,0.0577547550201416,28
ex1_226.qasm,0.0040760040283203125,7,0.01616811752319336,6
ground_state_estimation_10.qasm,6.039738416671753,93809,184.71893858909607,98325
hwb5_53.qasm,0.02353978157043457,514,0.8390569686889648,485
inc_237.qasm,0.16923809051513672,5602,8.071285963058472,4646
majority_239.qasm,0.01770949363708496,233,0.3584275245666504,216
misex1_241.qasm,0.06528425216674805,2449,3.137779951095581,1953
mod5d1_63.qasm,0.005183219909667969,8,0.034483909606933594,11
one-two-three-v0_97.qasm,0.009256124496459961,106,0.1550745964050293,96
plus63mod4096_163.qasm,2.16921329498291,75198,104.15557360649109,56688
radd_250.qasm,0.06501460075378418,1698,2.507857084274292,1478
rd53_131.qasm,0.010223627090454102,187,0.26836180686950684,168
rd53_311.qasm,0.0074160099029541016,145,0.2576148509979248,139
root_255.qasm,0.24793601036071777,9576,14.269083738327026,8121
sqrt8_260.qasm,0.04093194007873535,1655,2.434746026992798,1463
sym6_316.qasm,0.00710749626159668,160,0.2323760986328125,134
urf1_149.qasm,2.91971755027771,82425,127.7151505947113,70054
urf3_279.qasm,1.9831881523132324,75796,121.51429677009583,67183
wim_266.qasm,0.0198061466217041,429,0.6967365741729736,407
